mmsi	link	users	responses	longliner	pursseiner	trawler	reefers	multigear	other fishing	notfishing	multiple	baddata	not known	other	othertext	websitesfound
416002061	http://crowd.globalfishingwatch.org/project/maptests2/task/4215	juliecharbonneau,clairechristie,stephanielewis	3										3			
416002900	http://crowd.globalfishingwatch.org/project/maptests2/task/4216	juliecharbonneau,clairechristie,stephanielewis	3						1				2			https://www.portmaps.com/eng/Aiss/fong-chun-no-66-class-b-416002900
416003756	http://crowd.globalfishingwatch.org/project/maptests2/task/4217	juliecharbonneau,clairechristie,stephanielewis	3										3			
416003765	http://crowd.globalfishingwatch.org/project/maptests2/task/4218	juliecharbonneau,clairechristie,stephanielewis	3	1									2			http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000013916#.VuL2A-IrLIU
416004565	http://crowd.globalfishingwatch.org/project/maptests2/task/4219	juliecharbonneau,clairechristie,stephanielewis	3										3			
416016872	http://crowd.globalfishingwatch.org/project/maptests2/task/4220	juliecharbonneau,clairechristie,stephanielewis	3										3			
416222700	http://crowd.globalfishingwatch.org/project/maptests2/task/4221	clairechristie,stephanielewis,isabelfleisher	3	1						1			1			https://www.wcpfc.int/node/16812
416500000	http://crowd.globalfishingwatch.org/project/maptests2/task/4222	clairechristie,stephanielewis,katepepler	3		1								2			http://www.fao.org/figis/vrmf/finder/search/#basic
418197905	http://crowd.globalfishingwatch.org/project/maptests2/task/4223	clairechristie,stephanielewis,katepepler	3							2			1			https://www.fleetmon.com/vessels/penghai16_0_10107296/?language=en,http://www.marinetraffic.com/en/ais/details/ships/418197905
431105000	http://crowd.globalfishingwatch.org/project/maptests2/task/4224	clairechristie,stephanielewis,katepepler	3	1									2			http://www.fao.org/figis/vrmf/finder/search/#basic
431704110	http://crowd.globalfishingwatch.org/project/maptests2/task/4225	clairechristie,stephanielewis,katepepler	3	2						1						https://www.vesselfinder.com/vessels/HOUSIN-MARU-NO62-IMO-0-MMSI-431704110,https://www.wcpfc.int/node/13537,http://www.fao.org/figis/vrmf/finder/search/#basic
431802000	http://crowd.globalfishingwatch.org/project/maptests2/task/4226	clairechristie,stephanielewis,katepepler	3	3												https://www.wcpfc.int/node/12536,https://www.wcpfc.int/node/12536
